album_id,album_name,popularity,total_tracks,album_type,artist_id
03iyZbWRe5cf7xIXZQ6IEL,Phox,31,12,album,3ix4iw2URncSdE7X292bXy
03jcqKD4ZthRxviJQIPCYf,Evisceration Plague,46,12,album,0yLwGBQiBqhXOvmTfH2A7n
03JPFQvZRnHHysSZrSFmKY,Inside In / Inside Out,74,14,album,1GLtl8uqKmnyCWxHmw9tL4
03JyddDpHtjQkNFdTzsdYj,Long Live,40,13,album,3LkSiHbjqOHCKCqBfEZOTv
03k5c6BMyXdk4D2CE9zOQP,What Happens Next,47,12,album,2yzxX2DI9LFK8VFTyW2zZ8
03KI7pLayMJBnUZWT4Fega,Stay The Night,16,10,album,2WqdbY7r624W8KadOMlzno
03kKWcRS8qOq8cbbRi8HH7,The Second Wave,10,23,compilation,0LyfQWJT6nXafLPZqxe9Of
03kOqFjrxiwkgvj2ExN6ii,Move Along,63,13,album,3vAaWhdBR38Q02ohXqaNHT
03LP0iA5hWsCVeDFHMV7Z8,The Essential Barbra Streisand,58,40,compilation,7jmTilWYlKOuavFfmQAcu6
03Lqx4gkBxfUBJDPIGYmM7,Just Lookin' For A Hit,35,10,album,2sxmKe3CUrWnx7eoXMhOlW
03mHQrNAXsd9fmDHQAUOzj,Firefly,28,16,album,45O9BwPMyywM755SYUK0sP
03Mx6yaV7k4bsEmcTH8J49,It Takes A Nation Of Millions To Hold Us Back,55,16,album,6Mo9PoU6svvhgEum7wh2Nd
03nQNGFi3dIxg6ghNbtVWW,Sound & Color,63,12,album,16GcWuvvybAoaHr0NqT8Eh
03oWQC3GGiwmHM6WRuu3vC,Totally Dance,11,18,compilation,0LyfQWJT6nXafLPZqxe9Of
03RN67Pc5FEWgZnqKgncS6,Unmap,51,9,album,6gAtOqhriLzOzb3Qqmg5kO
03Sa02WIHEwH8lHfbipmrz,K.O.B.: Live,71,25,album,1qto4hHid1P71emI6Fd8xi
03ScC00zLbzJ5GrVp6Y5M1,Straight Ahead,49,17,album,6i0KVTOvm96T55mbp742ks
03SR9iQIkt1duJ26TMvh9c,Superfast,42,13,album,6jddkwDLW1TOlqdjfK4ywk
03srSIJshSQQOh2vJ3uVZi,Lullabies To Paralyze,59,15,album,4pejUc4iciQfgdX6OKulQn
03sXD6gm2M77kAHJY4r5Do,Til' My Casket Drops,32,17,album,1zrMGaRSRvx67vF4xzvUcu
03synGloeOT5CV03nMrq8I,Angel Delight,9,10,album,2LIdnZDzySb04oH40be1fR
03tMCsQtVPl4YmI6zeMbO7,Volition,40,11,album,6z3BjfmgvDUIHaJ0UPTtrQ
03TnaOUeNvXtbSeKX0X6LQ,Deja Entendu,48,11,album,168dgYui7ExaU612eooDF1
